ejecucion,algoritmo,tiempo,iteraciones_nodos,solucion,solucion_encontrada
1,Hill Climbing,0.001998424530029297,4,"[2, 0, 6, 4, 7, 1, 3, 5]",True
2,Hill Climbing,0.0009992122650146484,3,No solución,False
3,Hill Climbing,0.00266265869140625,6,No solución,False
4,Hill Climbing,0.002956867218017578,5,No solución,False
5,Hill Climbing,0.002001523971557617,6,No solución,False
6,Hill Climbing,0.0035254955291748047,6,"[3, 1, 6, 2, 5, 7, 0, 4]",True
7,Hill Climbing,0.0009963512420654297,4,No solución,False
8,Hill Climbing,0.003005504608154297,6,No solución,False
9,Hill Climbing,0.0010318756103515625,4,No solución,False
10,Hill Climbing,0.002050161361694336,4,No solución,False
1,Backtracking,0.0009996891021728516,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
2,Backtracking,0.000965118408203125,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
3,Backtracking,0.0,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
4,Backtracking,0.0009942054748535156,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
5,Backtracking,0.0010037422180175781,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
6,Backtracking,0.0009953975677490234,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
7,Backtracking,0.0009989738464355469,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
8,Backtracking,0.0009996891021728516,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
9,Backtracking,0.0005066394805908203,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
10,Backtracking,0.0010111331939697266,876,"[0, 4, 7, 5, 2, 6, 1, 3]",True
